miss_rate,inflation_rate,policy,replicates,mean_cost,ci95_cost,mean_success,ci95_success,mean_wrong_route,ci95_wrong_route,mean_confirmed,ci95_confirmed,mean_support_size,ci95_support_size
0.05,0.1,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.05,0.2,conservative_tao,30,2.7592666666666776,0.01698370301290829,0.9900666666666668,0.001543973001173432,0.009933333333333337,0.0015439730011734308,1.0,0.0,2.0,0.0
0.05,0.2,entropy_commit,30,2.5441333333333334,0.034837125591514105,0.9505333333333331,0.0031670114174103714,0.04946666666666669,0.0031670114174103736,0.0,0.0,1.0,0.0
0.05,0.2,support_inflated_tao,30,2.590943333333335,0.03444359968622165,0.9585333333333332,0.003053434159857126,0.04146666666666668,0.0030534341598571235,0.2074,0.005884203861225389,1.2074,0.005884203861225394
0.05,0.2,tao_nominal,30,2.5778666666666665,0.047682907252773805,0.9474666666666667,0.004334809750252155,0.05253333333333336,0.004334809750252163,0.0,0.0,1.0,0.0
0.05,0.2,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.05,0.5,conservative_tao,30,2.7475333333333443,0.01968783048901029,0.9911333333333332,0.0017898027717281669,0.008866666666666669,0.0017898027717281652,1.0,0.0,2.0,0.0
0.05,0.5,entropy_commit,30,2.5316666666666663,0.04191785571129505,0.9516666666666664,0.003810714155572273,0.04833333333333335,0.003810714155572276,0.0,0.0,1.0,0.0
0.05,0.5,support_inflated_tao,30,2.659523333333338,0.0330075292045723,0.9694666666666667,0.002893040548775328,0.03053333333333335,0.0028930405487753255,0.49793333333333334,0.007795907428154375,1.4979333333333336,0.007795907428154378
0.05,0.5,tao_nominal,30,2.5279999999999996,0.03066517617567291,0.9520000000000001,0.0027877432886975364,0.04800000000000003,0.002787743288697537,0.0,0.0,1.0,0.0
0.05,0.5,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1,0.0,conservative_tao,30,2.8648666666666807,0.02125383844566325,0.9804666666666667,0.0019321671314238825,0.01953333333333334,0.001932167131423881,1.0,0.0,2.0,0.0
0.1,0.0,entropy_commit,30,3.078733333333333,0.04388069400569521,0.9019333333333335,0.003989154000517751,0.0980666666666667,0.003989154000517746,0.0,0.0,1.0,0.0
0.1,0.0,support_inflated_tao,30,3.0911999999999993,0.0532181581110774,0.9007999999999999,0.0048380143737343125,0.09920000000000002,0.004838014373734309,0.0,0.0,1.0,0.0
0.1,0.0,tao_nominal,30,3.1183333333333327,0.052672551034579865,0.8983333333333335,0.004788413730416357,0.10166666666666671,0.0047884137304163524,0.0,0.0,1.0,0.0
0.1,0.0,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1,0.1,conservative_tao,30,2.888333333333348,0.02473025806082141,0.9783333333333334,0.002248205278256433,0.021666666666666678,0.002248205278256431,1.0,0.0,2.0,0.0
0.1,0.1,entropy_commit,30,3.1220000000000003,0.04438994290156946,0.8979999999999999,0.004035449354688137,0.10200000000000001,0.004035449354688133,0.0,0.0,1.0,0.0
0.1,0.1,support_inflated_tao,30,3.0712633333333357,0.052863150728087956,0.9085333333333333,0.0048719691724043454,0.09146666666666667,0.00487196917240434,0.10020000000000001,0.004959697951500166,1.1002000000000003,0.004959697951500169
0.1,0.1,tao_nominal,30,3.068466666666667,0.0516730484180318,0.9028666666666666,0.004697549856184715,0.09713333333333334,0.0046975498561847105,0.0,0.0,1.0,0.0
0.1,0.1,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1,0.2,conservative_tao,30,2.8560666666666803,0.022217427884968673,0.9812666666666666,0.002019766171360731,0.01873333333333334,0.0020197661713607295,1.0,0.0,2.0,0.0
0.1,0.2,entropy_commit,30,3.0758000000000005,0.04665973618422641,0.9022000000000001,0.004241794198566043,0.09780000000000003,0.00424179419856604,0.0,0.0,1.0,0.0
0.1,0.2,support_inflated_tao,30,3.0598100000000046,0.04427350278360785,0.9152,0.004020540548091834,0.08480000000000003,0.004020540548091833,0.19540000000000005,0.007337621300178117,1.1953999999999998,0.007337621300178123
0.1,0.2,tao_nominal,30,3.122,0.05909424004449826,0.8980000000000001,0.0053722036404089376,0.10200000000000002,0.005372203640408934,0.0,0.0,1.0,0.0
0.1,0.2,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1,0.5,conservative_tao,30,2.881733333333348,0.02885056167876302,0.9789333333333334,0.002622778334432953,0.021066666666666678,0.0026227783344329506,1.0,0.0,2.0,0.0
0.1,0.5,entropy_commit,30,3.0860666666666665,0.05401074263287619,0.9012666666666665,0.004910067512079654,0.09873333333333334,0.004910067512079654,0.0,0.0,1.0,0.0
0.1,0.5,support_inflated_tao,30,3.00613000000001,0.03899321545238223,0.9388000000000002,0.0036084368061402917,0.06120000000000003,0.0036084368061403047,0.5122000000000001,0.009714195400333584,1.5121999999999998,0.009714195400333588
0.1,0.5,tao_nominal,30,3.0604,0.042339754622780244,0.9035999999999998,0.003849068602070935,0.09640000000000001,0.003849068602070932,0.0,0.0,1.0,0.0
0.1,0.5,voi_correct_support,30,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.2,0.0,conservative_tao,30,3.052600000000019,0.03454243426519879,0.9633999999999998,0.0031402212968361745,0.036600000000000014,0.003140221296836172,1.0,0.0,2.0,0.0
0.2,0.0,entropy_commit,30,4.197066666666666,0.07128142024033281,0.8002666666666667,0.00648012911275752,0.19973333333333335,0.006480129112757526,0.0,0.0,1.0,0.0
0.2,0.0,support_inflated_tao,30,4.240333333333334,0.06673986882232726,0.7963333333333333,0.006067260802029746,0.20366666666666672,0.0060672608020297565,0.0,0.0,1.0,0.0
